2026-06-08 19:58:26: -- Analysis Started by Periodic Timer
2026-06-08 19:58:26: L: Reading State File C:/Users/DavoodYa/Documents/WindowsPowerShell/_gsdata_/_file_state_v4._gs
2026-06-08 19:58:26: R: Reading State File H:/Repo/powershell-scripting/PowerShell-Profile-Backups/Use-GoodSync/_gsdata_/_file_state_v4._gs
2026-06-08 19:58:26: R: State file does not exist: H:/Repo/powershell-scripting/PowerShell-Profile-Backups/Use-GoodSync/_gsdata_/_file_state_v4._gs
2026-06-08 19:58:26: /Help/AppBackgroundTask/AppBackgroundTask_eb40bd55-3bab-4fa6-88ee-0dcf3cad5a25_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/AppBackgroundTask/en-US/microsoft.windows.appbackgroundtask.commands.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/AppBackgroundTask/en-US/PS_BackgroundTask.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Appx/Appx_aeef2bef-eba9-4a1d-a3d2-d0b52df76deb_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/Appx/en-US/Microsoft.Windows.Appx.PackageManager.Commands.dll-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/AssignedAccess/AssignedAccess_9e72217e-9e27-45f7-81fc-048763587e0a_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/AssignedAccess/en-US/AssignedAccess-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/BitLocker/BitLocker_0ff02bb8-300a-4262-ac08-e06dd810f1b6_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/BitLocker/en-US/BitLocker-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/BitsTransfer/BitsTransfer_8fa5064b-8479-4c5c-86ea-0d311fe48875_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/BitsTransfer/en-US/Microsoft.BackgroundIntelligentTransfer.Management.dll-Help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/BranchCache/BranchCache_d57aee1e-6fe7-4bbc-8c57-8675a3a83e0d_HelpInfo.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/BranchCache/en-US/BranchCacheClientSettingData.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/BranchCache/en-US/BranchCacheContentServerSettingData.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/BranchCache/en-US/BranchCacheHostedCacheServerSettingData.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/BranchCache/en-US/BranchCacheNetworkSettingData.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/BranchCache/en-US/BranchCacheOrchestrator.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/BranchCache/en-US/BranchCachePrimaryPublicationCacheFile.cdxml-help.xml: Warning: Older file to replace Newer file
2026-06-08 19:58:26: /Help/BranchCache/en-US/BranchCachePrimaryRepublicationCacheFile.cdxml-help.xml: Warning: Older file to replace Newer file
